Name,Description,URL,Processed_Name,Processed_Description
act,Run your GitHub Actions locally 🚀,https://github.com/nektos/act,['act'],"['run', 'github', 'action', 'local']"
awesome-actions,A curated list of awesome actions to use on GitHub,https://github.com/sdras/awesome-actions,['awesomeact'],"['curat', 'list', 'awesom', 'action', 'use', 'github']"
Actions-OpenWrt,A template for building OpenWrt with GitHub Actions | 使用 GitHub Actions 在线云编译 OpenWrt 固件,https://github.com/P3TERX/Actions-OpenWrt,['actionsopenwrt'],"['templat', 'build', 'openwrt', 'github', 'action', 'github', 'action', 'openwrt']"
OpenWrt-Rpi,Raspberry Pi & NanoPi R2S/R4S & G-Dock & x86 OpenWrt Compile Project. (Based on Github Action / Daily Update),https://github.com/SuLingGG/OpenWrt-Rpi,['openwrtrpi'],"['raspberri', 'pi', 'nanopi', 'r2sr4', 'gdock', 'x86', 'openwrt', 'compil', 'project', 'base', 'github', 'action', 'daili', 'updat']"
danger-js,"⚠️ Stop saying ""you forgot to …"" in code review",https://github.com/danger/danger-js,['dangerj'],"['stop', 'say', 'forgot', 'code', 'review']"
ssh-action,GitHub Actions for executing remote ssh commands.,https://github.com/appleboy/ssh-action,['sshaction'],"['github', 'action', 'execut', 'remot', 'ssh', 'command']"
actions-runner-controller,Kubernetes controller for GitHub Actions self-hosted runners,https://github.com/actions/actions-runner-controller,['actionsrunnercontrol'],"['kubernet', 'control', 'github', 'action', 'selfhost', 'runner']"
actions-gh-pages,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly.,https://github.com/peaceiris/actions-gh-pages,['actionsghpag'],"['github', 'action', 'github', 'page', 'deploy', 'static', 'file', 'publish', 'site', 'easili', 'staticsitegeneratorsfriendli']"
snk,🟩⬜ Generates a snake game from a github user contributions graph and output a screen capture as animated svg or gif,https://github.com/Platane/snk,['snk'],"['gener', 'snake', 'game', 'github', 'user', 'contribut', 'graph', 'output', 'screen', 'captur', 'anim', 'svg', 'gif']"
build-push-action,GitHub Action to build and push Docker images with Buildx,https://github.com/docker/build-push-action,['buildpushact'],"['github', 'action', 'build', 'push', 'docker', 'imag', 'buildx']"
action-gh-release,📦 :octocat: GitHub Action for creating GitHub Releases,https://github.com/softprops/action-gh-release,['actionghreleas'],"['octocat', 'github', 'action', 'creat', 'github', 'releas']"
digger,Digger is an open source IaC orchestration tool. Digger allows you to run IaC in your existing CI pipeline ⚡️  ,https://github.com/diggerhq/digger,['digger'],"['digger', 'open', 'sourc', 'iac', 'orchestr', 'tool', 'digger', 'allow', 'run', 'iac', 'exist', 'ci', 'pipelin']"
github-pages-deploy-action,🚀 Automatically deploy your project to GitHub Pages using GitHub Actions. This action can be configured to push your production-ready code into any branch you'd like.,https://github.com/JamesIves/github-pages-deploy-action,['githubpagesdeployact'],"['automat', 'deploy', 'project', 'github', 'page', 'use', 'github', 'action', 'action', 'configur', 'push', 'productionreadi', 'code', 'branch', 'youd', 'like']"
FTP-Deploy-Action,Deploys a GitHub project to a FTP server using GitHub actions,https://github.com/SamKirkland/FTP-Deploy-Action,['ftpdeployact'],"['deploy', 'github', 'project', 'ftp', 'server', 'use', 'github', 'action']"
cml,♾️ CML - Continuous Machine Learning | CI/CD for ML,https://github.com/iterative/cml,['cml'],"['cml', 'continu', 'machin', 'learn', 'cicd', 'ml']"
python-web,Curso para aprender desarrollo frontend Web con Python puro desde cero. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,https://github.com/mouredev/python-web,['pythonweb'],"['curso', 'para', 'aprend', 'desarrollo', 'frontend', 'web', 'con', 'python', 'puro', 'desd', 'cero', 'elaborado', 'durant', 'la', 'emision', 'en', 'directo', 'desd', 'twitch', 'de', 'mouredev']"
action-tmate,Debug your GitHub Actions via SSH by using tmate to get access to the runner system itself.,https://github.com/mxschmitt/action-tmate,['actiontm'],"['debug', 'github', 'action', 'via', 'ssh', 'use', 'tmate', 'get', 'access', 'runner', 'system']"
blog-post-workflow,Show your latest blog posts from any sources or StackOverflow activity or Youtube Videos on your GitHub profile/project readme automatically using the RSS feed,https://github.com/gautamkrishnar/blog-post-workflow,['blogpostworkflow'],"['show', 'latest', 'blog', 'post', 'sourc', 'stackoverflow', 'activ', 'youtub', 'video', 'github', 'profileproject', 'readm', 'automat', 'use', 'rss', 'feed']"
ts-nextjs-tailwind-starter,🔋 Next.js + Tailwind CSS + TypeScript starter and boilerplate packed with useful development features,https://github.com/theodorusclarence/ts-nextjs-tailwind-starter,['tsnextjstailwindstart'],"['nextj', 'tailwind', 'cs', 'typescript', 'starter', 'boilerpl', 'pack', 'use', 'develop', 'featur']"
actionlint,:octocat: Static checker for GitHub Actions workflow files,https://github.com/rhysd/actionlint,['actionlint'],"['octocat', 'static', 'checker', 'github', 'action', 'workflow', 'file']"
fastapi-realworld-example-app,Backend logic implementation for https://github.com/gothinkster/realworld with awesome FastAPI,https://github.com/nsidnev/fastapi-realworld-example-app,['fastapirealworldexampleapp'],"['backend', 'logic', 'implement', 'httpsgithubcomgothinksterrealworld', 'awesom', 'fastapi']"
terraform-aws-github-runner,Terraform module for scalable GitHub action runners on AWS,https://github.com/github-aws-runners/terraform-aws-github-runner,['terraformawsgithubrunn'],"['terraform', 'modul', 'scalabl', 'github', 'action', 'runner', 'aw']"
cargo-make,Rust task runner and build tool.,https://github.com/sagiegurari/cargo-make,['cargomak'],"['rust', 'task', 'runner', 'build', 'tool']"
git-auto-commit-action,Automatically commit and push changed files back to GitHub with this GitHub Action for the 80% use case.,https://github.com/stefanzweifel/git-auto-commit-action,['gitautocommitact'],"['automat', 'commit', 'push', 'chang', 'file', 'back', 'github', 'github', 'action', '80', 'use', 'case']"
docker_image_pusher,使用Github Action将国外的Docker镜像转存到阿里云私有仓库，供国内服务器使用，免费易用,https://github.com/tech-shrimp/docker_image_pusher,['dockerimagepush'],"['github', 'actiondock']"
zizmor,A static analysis tool for GitHub Actions,https://github.com/woodruffw/zizmor,['zizmor'],"['static', 'analysi', 'tool', 'github', 'action']"
cibuildwheel,🎡 Build Python wheels for all the platforms with minimal configuration. ,https://github.com/pypa/cibuildwheel,['cibuildwheel'],"['build', 'python', 'wheel', 'platform', 'minim', 'configur']"
Gmeek,Gmeek is a Blog All in Github,https://github.com/Meekdai/Gmeek,['gmeek'],"['gmeek', 'blog', 'github']"
18-comic-finder,禁漫天堂Github Actions下载器🧘,https://github.com/jiayaoO3O/18-comic-finder,['18comicfind'],"['github', 'action']"
docker-github-actions-runner,This will run the new self-hosted github actions runners with docker-in-docker,https://github.com/myoung34/docker-github-actions-runner,['dockergithubactionsrunn'],"['run', 'new', 'selfhost', 'github', 'action', 'runner', 'dockerindock']"
kotlin-android-template,Android + Kotlin + Github Actions + ktlint + Detekt + Gradle Kotlin DSL + buildSrc = ❤️,https://github.com/cortinico/kotlin-android-template,['kotlinandroidtempl'],"['android', 'kotlin', 'github', 'action', 'ktlint', 'detekt', 'gradl', 'kotlin', 'dsl', 'buildsrc']"
JMComic-APK,防迷路 | 禁漫天堂APK | 禁漫APP安卓安装包 | jm天堂 | GitHub Actions ,https://github.com/hect0x7/JMComic-APK,['jmcomicapk'],"['apk', 'app', 'jm', 'github', 'action']"
setup-gcloud,A GitHub Action for installing and configuring the gcloud CLI.,https://github.com/google-github-actions/setup-gcloud,['setupgcloud'],"['github', 'action', 'instal', 'configur', 'gcloud', 'cli']"
stepci,Automated API Testing and Quality Assurance,https://github.com/stepci/stepci,['stepci'],"['autom', 'api', 'test', 'qualiti', 'assur']"
github-action,GitHub Action for running Cypress end-to-end & component tests,https://github.com/cypress-io/github-action,['githubact'],"['github', 'action', 'run', 'cypress', 'endtoend', 'compon', 'test']"
wrangler-action,🧙‍♀️ easily deploy cloudflare workers applications using wrangler and github actions,https://github.com/cloudflare/wrangler-action,['wrangleract'],"['easili', 'deploy', 'cloudflar', 'worker', 'applic', 'use', 'wrangler', 'github', 'action']"
create-release,An Action to create releases via the GitHub Release API,https://github.com/actions/create-release,['createreleas'],"['action', 'creat', 'releas', 'via', 'github', 'releas', 'api']"
scp-action,GitHub Action that copy files and artifacts via SSH.,https://github.com/appleboy/scp-action,['scpaction'],"['github', 'action', 'copi', 'file', 'artifact', 'via', 'ssh']"
ssh-agent,GitHub Action to setup `ssh-agent` with a private key,https://github.com/webfactory/ssh-agent,['sshagent'],"['github', 'action', 'setup', 'sshagent', 'privat', 'key']"
AutoPR,Run AI-powered workflows over your codebase,https://github.com/irgolic/AutoPR,['autopr'],"['run', 'aipow', 'workflow', 'codebas']"
github-certification-guide,Resources to help you get GitHub certified ✨,https://github.com/LadyKerr/github-certification-guide,['githubcertificationguid'],"['resourc', 'help', 'get', 'github', 'certifi']"
