0,1
"Nisei male. Born September 23, 1925, in Seattle, Washington. Spent prewar childhood in Seattle's Nihonmachi. Incarcerated at Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Refused to participate in the draft and was imprisoned at McNeil Island Penitentiary, Washington, for draft resistance. Resettled in Seattle.","['nisei', 'male', 'born', 'septemb', '23', '1925', 'seattl', 'washington', 'spent', 'prewar', 'childhood', 'seattl', 'nihonmachi', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'refus', 'particip', 'draft', 'imprison', 'mcneil', 'island', 'penitentiari', 'washington', 'draft', 'resist', 'resettl', 'seattl']"
"Nisei male. Born January 25, 1920, in Seattle, Washington. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Resisted the draft, with the rationale that the U.S. government had classified him 4-C, an enemy alien, and he was therefore under no obligation to serve. Imprisoned at McNeil Island Penitentiary, Washington. Vocal critic of the Japanese American Citizens League. Resettled in Seattle, Washington. Thought by some to be the model for the main character in John Okada's No-No Boy.","['nisei', 'male', 'born', 'januari', '25', '1920', 'seattl', 'washington', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'resist', 'draft', 'rational', 'u', 'govern', 'classifi', '4c', 'enemi', 'alien', 'therefor', 'oblig', 'serv', 'imprison', 'mcneil', 'island', 'penitentiari', 'washington', 'vocal', 'critic', 'japanes', 'american', 'citizen', 'leagu', 'resettl', 'seattl', 'washington', 'thought', 'model', 'main', 'charact', 'john', 'okada', 'nono', 'boy']"
"Nisei male. During World War II, served with I Company, part of the 442nd Regimental Combat Team, an all-Japanese American fighting unit and one of the most highly decorated military units in U.S. history. During his interview he discusses his experiences training at Camp Shelby, Mississippi, and fighting in Europe during such battles as the battle of the ""Lost Battalion.""","['nisei', 'male', 'world', 'war', 'ii', 'serv', 'compani', 'part', '442nd', 'regiment', 'combat', 'team', 'alljapanes', 'american', 'fight', 'unit', 'one', 'highli', 'decor', 'militari', 'unit', 'u', 'histori', 'interview', 'discus', 'experi', 'train', 'camp', 'shelbi', 'mississippi', 'fight', 'europ', 'battl', 'battl', 'lost', 'battalion']"
"Nisei male. Born September 19, 1917, in Hanapepe, Hawaii. During World War II, served with I Company, part of the 442nd Regimental Combat Team, an all-Japanese American fighting unit and one of the most highly decorated military units in U.S. history. During his interview he discusses his experiences training at Camp Shelby, Mississippi, and fighting in Europe during such battles as the battle of the ""Lost Battalion.""","['nisei', 'male', 'born', 'septemb', '19', '1917', 'hanapep', 'hawaii', 'world', 'war', 'ii', 'serv', 'compani', 'part', '442nd', 'regiment', 'combat', 'team', 'alljapanes', 'american', 'fight', 'unit', 'one', 'highli', 'decor', 'militari', 'unit', 'u', 'histori', 'interview', 'discus', 'experi', 'train', 'camp', 'shelbi', 'mississippi', 'fight', 'europ', 'battl', 'battl', 'lost', 'battalion']"
"Nisei female. Born July 15, 1906, in Bedderavia, California. Was given for adoption by her parents to a couple who could not have children of their own. Grew up on a family farm and was one of the oldest Nisei in the Santa Barbara area of California. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Widow of Clarence Arai, lawyer and key figure in founding of the Japanese American Citizens League. In her interview, discusses childhood and memories of being married to Clarence during the turbulent war years. After the war, supported the family and cared for the ailing Clarence until his death in 1964. Remarried to George Bartholomew in 1978.","['nisei', 'femal', 'born', 'juli', '15', '1906', 'bedderavia', 'california', 'given', 'adopt', 'parent', 'coupl', 'could', 'child', 'grew', 'famili', 'farm', 'one', 'oldest', 'nisei', 'santa', 'barbara', 'area', 'california', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'widow', 'clarenc', 'arai', 'lawyer', 'key', 'figur', 'found', 'japanes', 'american', 'citizen', 'leagu', 'interview', 'discus', 'childhood', 'memori', 'marri', 'clarenc', 'turbul', 'war', 'year', 'war', 'support', 'famili', 'care', 'ail', 'clarenc', 'death', '1964', 'remarri', 'georg', 'bartholomew', '1978']"
"Nisei female. Born January 6, 1923, in Los Angeles, California. During World War II, was incarcerated at Manzanar concentration camp, California. Wrote for the Manzanar Free Press while incarcerated. Resettled during World War II in Madison, Wisconsin, and Chicago, Illinois. Returned to Los Angeles, California, in 1948. Founding member of Nisei Progressives and the Manzanar Committee.","['nisei', 'femal', 'born', 'januari', '6', '1923', 'lo', 'angel', 'california', 'world', 'war', 'ii', 'incarcer', 'manzanar', 'concentr', 'camp', 'california', 'wrote', 'manzanar', 'free', 'press', 'incarcer', 'resettl', 'world', 'war', 'ii', 'madison', 'wisconsin', 'chicago', 'illinoi', 'return', 'lo', 'angel', 'california', '1948', 'found', 'member', 'nisei', 'progress', 'manzanar', 'committe']"
"Kibei male. Born August 1, 1915, in Portland, Oregon. Sent with siblings to be educated in Japan when ten years old. Returned to the United States in 1935. During World War II, was incarcerated at the Portland Assembly Center, Oregon, and Minidoka concentration camp, Idaho. Active in Seattle's postwar Japanese American community as a member and past president of the First Hill Lions Club; past president of the Atlantic Street Center, past president of Franklin High School Band PTA, past zone chairman of the Japanese American Citizens League (JACL) and past JACL district governor, area 19-B. In his interview, discusses childhood memories of Japan and Japanese attitudes and values.","['kibei', 'male', 'born', 'august', '1', '1915', 'portland', 'oregon', 'sent', 'sibl', 'educ', 'japan', 'ten', 'year', 'old', 'return', 'unit', 'state', '1935', 'world', 'war', 'ii', 'incarcer', 'portland', 'assembl', 'center', 'oregon', 'minidoka', 'concentr', 'camp', 'idaho', 'activ', 'seattl', 'postwar', 'japanes', 'american', 'commun', 'member', 'past', 'presid', 'first', 'hill', 'lion', 'club', 'past', 'presid', 'atlant', 'street', 'center', 'past', 'presid', 'franklin', 'high', 'school', 'band', 'pta', 'past', 'zone', 'chairman', 'japanes', 'american', 'citizen', 'leagu', 'jacl', 'past', 'jacl', 'district', 'governor', 'area', '19b', 'interview', 'discus', 'childhood', 'memori', 'japan', 'japanes', 'attitud', 'valu']"
"Nisei male. Born January 14, 1930, in Seattle, Washington. Grew up in the Jackson Street neighborhood of Seattle, Washington. Incarcerated at Puyallup Assembly Center, Washington, and Tule Lake concentration camp, California. Resettled in Seattle. Former teacher and varsity basketball coach at Seattle's Franklin High School and administrator at Seattle Central Community College.","['nisei', 'male', 'born', 'januari', '14', '1930', 'seattl', 'washington', 'grew', 'jackson', 'street', 'neighborhood', 'seattl', 'washington', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'tule', 'lake', 'concentr', 'camp', 'california', 'resettl', 'seattl', 'former', 'teacher', 'varsiti', 'basketbal', 'coach', 'seattl', 'franklin', 'high', 'school', 'administr', 'seattl', 'central', 'commun', 'colleg']"
"Nisei male. Born January 30, 1925, in Seattle, Washington. Spent prewar years in Seattle's Nihonmachi/Yesler Terrace area. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. Drafted into the Military Intelligence Service (MIS). Postwar commander of Nisei Veterans Committee (NVC) in 1988 and 1989.","['nisei', 'male', 'born', 'januari', '30', '1925', 'seattl', 'washington', 'spent', 'prewar', 'year', 'seattl', 'nihonmachiyesl', 'terrac', 'area', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'draft', 'militari', 'intellig', 'servic', 'mi', 'postwar', 'command', 'nisei', 'veteran', 'committe', 'nvc', '1988', '1989']"
"Nisei female. Born September 9, 1933, in Seattle, Washington. Parents operated a store in the Sanitary Market (now known as the Pike Place Market). Father was very active in kenjinkai (prefectural organization) activities, both before and after World War II. Spent prewar childhood in and among Seattle's Japanese American community. Incarcerated at the Puyallup Assembly Center, Washington, and Minidoka concentration camp, Idaho. One of the first Japanese American families to return to Seattle after the war.","['nisei', 'femal', 'born', 'septemb', '9', '1933', 'seattl', 'washington', 'parent', 'oper', 'store', 'sanitari', 'market', 'known', 'pike', 'place', 'market', 'father', 'activ', 'kenjinkai', 'prefectur', 'organ', 'activ', 'world', 'war', 'ii', 'spent', 'prewar', 'childhood', 'among', 'seattl', 'japanes', 'american', 'commun', 'incarcer', 'puyallup', 'assembl', 'center', 'washington', 'minidoka', 'concentr', 'camp', 'idaho', 'one', 'first', 'japanes', 'american', 'famili', 'return', 'seattl', 'war']"
"Nisei male. Born June 23, 1933, in Bainbridge Island, Washington. His family built and operated Bainbridge Gardens, 27 acres of meticulously landscaped property, with a nursery, grocery store and gas station. At the onset of World War II, family moved to Moses Lake to avoid being incarcerated where they farmed and lived amidst a fairly hostile larger community. Following the war, they returned to Bainbridge Island to find most of their business and property ruined from neglect and pilfering. His parents worked to rebuild it, while Mr. Harui began his own floral shop and landscape business. Eventually, Mr. Harui returned to Bainbridge Gardens and helped restore it to a thriving nursery and testimony to his family's perseverance.","['nisei', 'male', 'born', 'june', '23', '1933', 'bainbridg', 'island', 'washington', 'famili', 'built', 'oper', 'bainbridg', 'garden', '27', 'acr', 'meticul', 'landscap', 'properti', 'nurseri', 'groceri', 'store', 'ga', 'station', 'onset', 'world', 'war', 'ii', 'famili', 'move', 'mose', 'lake', 'avoid', 'incarcer', 'farm', 'live', 'amidst', 'fairli', 'hostil', 'larger', 'commun', 'follow', 'war', 'return', 'bainbridg', 'island', 'find', 'busi', 'properti', 'ruin', 'neglect', 'pilfer', 'parent', 'work', 'rebuild', 'mr', 'harui', 'began', 'floral', 'shop', 'landscap', 'busi', 'eventu', 'mr', 'harui', 'return', 'bainbridg', 'garden', 'help', 'restor', 'thrive', 'nurseri', 'testimoni', 'famili', 'persever']"
