Name,Description,URL
act,Run your GitHub Actions locally 🚀,https://github.com/nektos/act
gitea,Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD,https://github.com/go-gitea/gitea
awesome-actions,A curated list of awesome actions to use on GitHub,https://github.com/sdras/awesome-actions
goreleaser,Release engineering, simplified,https://github.com/goreleaser/goreleaser
Actions-OpenWrt,A template for building OpenWrt with GitHub Actions | 使用 GitHub Actions 在线云编译 OpenWrt 固件,https://github.com/P3TERX/Actions-OpenWrt
community,Public feedback discussions for: GitHub Mobile, GitHub Discussions, GitHub Codespaces, GitHub Sponsors, GitHub Issues and more!,https://github.com/community/community
OpenWrt-Rpi,Raspberry Pi & NanoPi R2S/R4S & G-Dock & x86 OpenWrt Compile Project. (Based on Github Action / Daily Update),https://github.com/SuLingGG/OpenWrt-Rpi
danger-js,⚠️ Stop saying "you forgot to …" in code review,https://github.com/danger/danger-js
ssh-action,GitHub Actions for executing remote ssh commands.,https://github.com/appleboy/ssh-action
actions-runner-controller,Kubernetes controller for GitHub Actions self-hosted runners,https://github.com/actions/actions-runner-controller
actions-gh-pages,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly.,https://github.com/peaceiris/actions-gh-pages
ubicloud,Open source alternative to AWS. Elastic compute, block storage (non replicated), firewall and load balancer, managed Postgres, and IAM services in public beta.,https://github.com/ubicloud/ubicloud
snk,🟩⬜ Generates a snake game from a github user contributions graph and output a screen capture as animated svg or gif,https://github.com/Platane/snk
build-push-action,GitHub Action to build and push Docker images with Buildx,https://github.com/docker/build-push-action
action-gh-release,📦 :octocat: GitHub Action for creating GitHub Releases,https://github.com/softprops/action-gh-release
digger,Digger is an open source IaC orchestration tool. Digger allows you to run IaC in your existing CI pipeline ⚡️  ,https://github.com/diggerhq/digger
github-pages-deploy-action,🚀 Automatically deploy your project to GitHub Pages using GitHub Actions. This action can be configured to push your production-ready code into any branch you'd like.,https://github.com/JamesIves/github-pages-deploy-action
FTP-Deploy-Action,Deploys a GitHub project to a FTP server using GitHub actions,https://github.com/SamKirkland/FTP-Deploy-Action
cml,♾️ CML - Continuous Machine Learning | CI/CD for ML,https://github.com/iterative/cml
python-web,Curso para aprender desarrollo frontend Web con Python puro desde cero. Elaborado durante las emisiones en directo desde Twitch de MoureDev.,https://github.com/mouredev/python-web
